iter	Passed	Remaining
0	169	169450
1	170	85300
2	172	57256
3	173	43172
4	174	34774
5	175	29150
6	177	25140
7	185	22985
8	186	20555
9	187	18609
10	189	17018
11	190	15724
12	192	14590
13	193	13624
14	194	12763
15	195	12011
16	196	11353
17	197	10755
18	197	10218
19	198	9732
20	199	9303
21	200	8906
22	201	8545
23	201	8211
24	202	7905
25	203	7621
26	204	7358
27	205	7139
28	206	6914
29	207	6703
30	208	6508
31	209	6330
32	210	6156
33	210	5992
34	211	5837
35	212	5688
36	213	5549
37	214	5422
38	214	5296
39	215	5178
40	216	5066
41	217	4959
42	218	4857
43	219	4760
44	219	4665
45	220	4577
46	221	4492
47	222	4408
48	223	4332
49	223	4255
50	224	4180
51	225	4107
52	226	4040
53	226	3975
54	227	3912
55	228	3855
56	229	3795
57	230	3740
58	231	3684
59	232	3634
60	232	3584
61	233	3535
62	234	3489
63	235	3442
64	236	3396
65	236	3352
66	237	3311
67	238	3264
68	238	3224
69	239	3186
70	240	3148
71	241	3112
72	242	3075
73	243	3044
74	244	3011
75	244	2978
76	245	2946
77	246	2913
78	247	2884
79	248	2855
80	249	2825
81	249	2795
82	250	2769
83	251	2742
84	251	2712
85	252	2685
86	253	2656
87	254	2632
88	254	2607
89	255	2583
90	256	2560
91	257	2537
92	257	2515
93	258	2495
94	259	2474
95	260	2453
96	261	2432
97	262	2412
98	262	2393
99	263	2374
100	264	2355
101	265	2334
102	265	2315
103	266	2298
104	267	2282
105	268	2265
106	269	2248
107	270	2231
108	271	2217
109	272	2200
110	273	2186
111	273	2171
112	274	2157
113	275	2141
114	276	2127
115	276	2110
116	277	2097
117	278	2083
118	279	2067
119	280	2054
120	280	2040
121	281	2027
122	282	2011
123	282	1998
124	283	1985
125	284	1973
126	285	1960
127	285	1946
128	286	1934
129	287	1922
130	288	1911
131	289	1900
132	289	1888
133	290	1878
134	291	1867
135	292	1857
136	293	1847
137	293	1836
138	294	1826
139	295	1817
140	296	1808
141	297	1798
142	298	1788
143	299	1779
144	300	1770
145	301	1761
146	302	1752
147	302	1743
148	303	1735
149	304	1726
150	305	1717
151	306	1709
152	307	1700
153	308	1692
154	308	1684
155	309	1675
156	310	1666
157	311	1659
158	312	1651
159	313	1643
160	313	1635
161	314	1628
162	315	1620
163	316	1613
164	317	1605
165	318	1599
166	319	1592
167	320	1585
168	320	1577
169	321	1571
170	322	1564
171	323	1557
172	324	1551
173	325	1544
174	326	1537
175	326	1530
176	327	1524
177	328	1517
178	329	1511
179	330	1505
180	330	1497
181	331	1490
182	332	1484
183	333	1478
184	334	1472
185	334	1465
186	335	1459
187	336	1454
188	337	1448
189	338	1443
190	339	1437
191	340	1432
192	341	1426
193	341	1420
194	342	1414
195	343	1409
196	344	1404
197	345	1398
198	346	1393
199	347	1388
200	347	1382
201	348	1377
202	349	1372
203	350	1367
204	351	1363
205	352	1358
206	353	1353
207	354	1348
208	354	1343
209	355	1338
210	356	1333
211	357	1328
212	358	1323
213	359	1319
214	359	1314
215	360	1309
216	361	1304
217	362	1300
218	363	1296
219	364	1291
220	365	1286
221	365	1282
222	366	1277
223	367	1272
224	368	1268
225	369	1263
226	369	1259
227	370	1255
228	371	1250
229	372	1246
230	373	1242
231	374	1239
232	375	1235
233	376	1231
234	377	1228
235	378	1224
236	379	1220
237	380	1216
238	380	1212
239	381	1208
240	382	1204
241	383	1200
242	384	1196
243	385	1193
244	385	1189
245	386	1185
246	387	1181
247	388	1178
248	389	1175
249	390	1171
250	391	1168
251	392	1164
252	393	1160
253	394	1157
254	394	1153
255	395	1149
256	396	1146
257	397	1142
258	398	1139
259	399	1135
260	399	1132
261	400	1128
262	401	1125
263	402	1121
264	403	1118
265	404	1114
266	404	1111
267	405	1108
268	406	1104
269	407	1101
270	408	1097
271	408	1094
272	409	1091
273	410	1088
274	411	1084
275	412	1081
276	413	1078
277	414	1075
278	415	1072
279	415	1069
280	416	1066
281	417	1063
282	418	1060
283	419	1057
284	420	1054
285	421	1051
286	421	1048
287	422	1045
288	423	1042
289	424	1039
290	425	1036
291	426	1033
292	427	1030
293	427	1027
294	428	1024
295	429	1021
296	430	1018
297	431	1015
298	432	1013
299	433	1010
300	434	1008
301	434	1005
302	435	1002
303	436	1000
304	437	997
305	438	995
306	439	992
307	440	989
308	441	986
309	442	983
310	443	981
311	444	979
312	444	976
313	445	973
314	446	971
315	447	968
316	448	965
317	449	963
318	450	961
319	451	958
320	451	955
321	452	953
322	453	950
323	454	948
324	455	945
325	456	943
326	456	940
327	457	937
328	458	935
329	459	933
330	460	930
331	461	928
332	462	926
333	463	924
334	464	921
335	465	919
336	466	917
337	467	914
338	468	912
339	468	910
340	469	908
341	470	905
342	471	903
343	472	901
344	473	898
345	474	896
346	475	894
347	476	891
348	476	889
349	477	887
350	478	885
351	479	882
352	480	880
353	481	878
354	482	876
355	482	873
356	483	871
357	484	869
358	485	867
359	486	865
360	487	863
361	488	860
362	489	858
363	490	856
364	491	854
365	492	852
366	493	850
367	494	848
368	495	846
369	495	844
370	496	842
371	497	840
372	498	838
373	499	836
374	500	834
375	501	832
376	502	830
377	503	828
378	504	826
379	505	824
380	506	822
381	507	820
382	508	818
383	509	816
384	510	814
385	511	812
386	511	810
387	512	808
388	513	806
389	514	805
390	515	802
391	516	800
392	517	799
393	518	797
394	519	795
395	520	793
396	521	791
397	522	789
398	523	787
399	524	786
400	524	784
401	526	782
402	527	780
403	528	779
404	529	777
405	529	775
406	531	773
407	532	772
408	533	770
409	533	768
410	534	766
411	535	764
412	536	763
413	537	761
414	538	759
415	539	757
416	540	756
417	541	754
418	542	752
419	543	750
420	544	749
421	545	747
422	546	745
423	547	743
424	548	742
425	549	740
426	550	739
427	551	737
428	552	735
429	553	734
430	554	732
431	555	730
432	556	729
433	557	727
434	558	725
435	560	724
436	560	722
437	561	721
438	562	719
439	563	717
440	564	715
441	565	713
442	566	712
443	567	710
444	568	708
445	569	706
446	570	705
447	571	703
448	572	701
449	572	700
450	573	698
451	574	696
452	575	694
453	576	693
454	577	691
455	578	689
456	579	688
457	579	686
458	580	684
459	581	682
460	582	681
461	583	679
462	584	677
463	585	676
464	586	674
465	587	672
466	588	671
467	588	669
468	589	667
469	590	665
470	591	664
471	592	662
472	593	660
473	593	659
474	594	657
475	595	655
476	596	653
477	597	652
478	598	650
479	599	648
480	599	647
481	600	645
482	601	644
483	602	642
484	603	641
485	604	639
486	605	637
487	606	636
488	607	634
489	608	633
490	609	631
491	610	629
492	611	628
493	611	626
494	612	625
495	613	623
496	614	622
497	615	620
498	616	618
499	617	617
500	618	615
501	618	614
502	619	612
503	620	610
504	621	609
505	622	607
506	623	606
507	624	604
508	625	603
509	625	601
510	626	599
511	627	598
512	628	596
513	629	595
514	630	593
515	631	592
516	632	590
517	633	589
518	633	587
519	634	586
520	635	584
521	636	582
522	637	581
523	638	579
524	639	578
525	640	576
526	640	575
527	641	573
528	642	572
529	643	570
530	644	569
531	645	567
532	646	566
533	647	564
534	648	563
535	648	561
536	649	560
537	650	558
538	651	557
539	652	555
540	653	554
541	653	552
542	654	551
543	655	549
544	656	548
545	657	546
546	658	545
547	659	543
548	660	542
549	661	540
550	661	539
551	662	537
552	663	536
553	664	534
554	665	533
555	666	532
556	667	530
557	667	529
558	668	527
559	669	526
560	670	524
561	671	523
562	672	521
563	673	520
